Modelo,Versão,MAE,RMSE
Regressão Linear,A — v4 (216 amostras),0.45647893026762115,0.5510361497106299
Regressão Linear,B — v5 (96 amostras),0.4582544849027601,0.542224107957352
Random Forest,A — v4 (216 amostras),0.46102752976190475,0.5682608464562916
Random Forest,B — v5 (96 amostras),0.4808683035714286,0.5909758055323684
XGBoost,A — v4 (216 amostras),0.5185479956900789,0.6213980568779038
XGBoost,B — v5 (96 amostras),0.4767119959528957,0.6298089295026497
